DATE,HLY-WIND-1STDIR,HLY-WIND-1STPCT,HLY-WIND-2NDDIR,HLY-WIND-2NDPCT,HLY-WIND-AVGSPD,HLY-WIND-PCTCLM,HLY-WIND-VCTDIR,HLY-WIND-VCTSPD
01-01T01:00:00,2,288,5,193,8.1,123,164,2.9
01-01T02:00:00,2,287,6,193,8.3,105,164,2.8
01-01T03:00:00,2,282,5,187,8.2,102,164,2.8
01-01T04:00:00,2,301,5,174,8.3,125,163,2.7
01-01T05:00:00,2,291,5,175,8.1,127,167,2.3
01-01T06:00:00,2,271,5,188,8.1,112,167,2.6
01-01T07:00:00,2,315,5,190,8.1,116,162,2.6
01-01T08:00:00,2,312,5,175,8.2,104,163,2.5
01-01T09:00:00,2,289,5,202,8.5,102,164,2.6
01-01T10:00:00,2,287,5,215,8.7,105,164,2.8
01-01T11:00:00,2,301,6,206,9.1,67,174,2.7
01-01T12:00:00,2,302,6,218,9.2,73,179,2.6
01-01T13:00:00,2,326,6,195,9.2,62,180,2.2
01-01T14:00:00,2,326,6,206,9.2,54,179,2.2
01-01T15:00:00,2,318,6,181,9,51,178,1.9
01-01T16:00:00,2,273,6,185,8.4,80,181,2.1
01-01T17:00:00,2,262,6,178,8,91,178,2.2
01-01T18:00:00,2,276,6,181,8,116,181,2.5
01-01T19:00:00,2,283,6,169,8,107,172,2.3
01-01T20:00:00,2,260,6,194,8,100,170,2.6
01-01T21:00:00,2,250,6,222,7.9,127,174,2.6
01-01T22:00:00,2,281,5,170,7.9,122,165,2.5
01-01T23:00:00,2,293,5,183,8,109,167,2.7
01-02T00:00:00,2,305,5,180,8,95,154,2.6
01-02T01:00:00,2,287,5,190,8.1,132,164,3
01-02T02:00:00,2,286,6,194,8.4,109,164,2.9
01-02T03:00:00,2,294,5,179,8.4,100,164,3
01-02T04:00:00,2,302,5,176,8.4,122,164,3
01-02T05:00:00,2,290,5,178,8.2,125,168,2.5
01-02T06:00:00,2,273,5,187,8.3,107,167,2.9
01-02T07:00:00,2,309,5,198,8.3,114,162,2.7
01-02T08:00:00,2,304,5,182,8.3,100,164,2.7
01-02T09:00:00,2,292,5,209,8.6,104,165,2.8
01-02T10:00:00,2,295,5,218,8.8,100,166,3
01-02T11:00:00,2,307,6,203,9.3,60,174,2.9
01-02T12:00:00,2,302,6,213,9.4,69,179,2.7
01-02T13:00:00,2,318,6,191,9.4,65,182,2.4
01-02T14:00:00,2,334,6,202,9.3,63,180,2.4
01-02T15:00:00,2,327,6,175,9.1,53,179,2.1
01-02T16:00:00,2,283,6,186,8.6,76,181,2.3
01-02T17:00:00,2,283,6,177,8.2,82,179,2.4
01-02T18:00:00,2,296,6,184,8.2,112,182,2.6
01-02T19:00:00,2,301,6,170,8.3,104,175,2.4
01-02T20:00:00,2,273,6,200,8.2,89,172,2.5
01-02T21:00:00,2,266,6,233,8.1,122,177,2.6
01-02T22:00:00,2,292,5,168,8,116,168,2.5
01-02T23:00:00,2,295,5,184,8.1,113,170,2.6
01-03T00:00:00,2,303,5,175,8,95,156,2.5
01-03T01:00:00,2,289,6,185,8.3,116,164,2.9
01-03T02:00:00,2,282,6,193,8.5,105,165,3
01-03T03:00:00,2,303,6,174,8.5,96,165,3
01-03T04:00:00,2,308,5,175,8.6,111,166,3
01-03T05:00:00,2,289,5,178,8.3,125,170,2.5
01-03T06:00:00,2,281,5,188,8.4,96,168,2.8
